Route_UUID,Interface,Selected Networks,Gateway,Metric
005056A1-C63D-0ed3-0000-008590048291,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957957', 'name': 'obj-172.20.128.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048308,ipsec,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956585', 'name': 'obj-192.168.0.5'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048001,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957448', 'name': 'obj-10.5.108.128'}]",obj-10.5.108.3,1
005056A1-C63D-0ed3-0000-008590048264,outside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956571', 'name': 'obj-69.191.192.25'}]",obj-200.1.118.1,1
005056A1-C63D-0ed3-0000-008590048349,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958120', 'name': 'obj-192.168.41.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048092,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957622', 'name': 'obj-10.6.100.144'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048342,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958113', 'name': 'obj-192.168.34.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048203,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957922', 'name': 'obj-10.16.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048202,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957296', 'name': 'OBJ-10.12.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048245,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957940', 'name': 'obj-10.236.252.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048160,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956411', 'name': 'obj-10.6.250.94'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048390,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956587', 'name': 'obj-192.168.95.179'}]",obj-10.6.3.17,1
005056A1-C63D-0ed3-0000-008590048239,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957935', 'name': 'obj-10.235.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048224,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589955066', 'name': 'OBJ-10.70.236.114'}]",obj-10.6.3.36,1
005056A1-C63D-0ed3-0000-008590048080,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957610', 'name': 'obj-10.6.70.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048327,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958098', 'name': 'obj-192.168.18.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048386,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958272', 'name': 'obj-192.168.74.96'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048430,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956733', 'name': 'obj-192.168.163.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048206,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956556', 'name': 'obj-10.64.10.40'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048212,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957279', 'name': 'OBJ-10.65.10.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048277,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957946', 'name': 'obj-155.195.0.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048176,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956543', 'name': 'obj-10.6.252.80'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048306,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957968', 'name': 'obj-192.155.138.0'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048445,outside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958285', 'name': 'obj-199.105.176.0'}]",obj-200.1.118.71,1
005056A1-C63D-0ed3-0000-008590048012,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957453', 'name': 'obj-10.6.0.32'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048242,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957937', 'name': 'obj-10.236.138.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048402,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958276', 'name': 'obj-192.168.100.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590047987,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956242', 'name': 'obj-10.0.154.39'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048424,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956731', 'name': 'obj-192.168.155.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048127,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957768', 'name': 'obj-10.6.175.64'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048425,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956732', 'name': 'obj-192.168.155.3'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048195,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957802', 'name': 'obj-10.8.128.0'}]",obj-10.5.108.33,1
